ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1141	10	1	1	0.000000	10.300000	10.300000	0.000000	0.000000	0	4	0
1142	55	1	1	0.000000	15.636364	15.636364	0.000000	0.000000	0	4	0
1143	1	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	10	0
1144	39	1	1	0.000000	4.538462	4.538462	0.000000	0.000000	0	7	0
1145	1	2	1	0.000000	148.000000	14.000000	0.000000	0.000000	0	17	0
1146	53	1	1	0.000000	12.754717	12.754717	0.000000	0.000000	0	14	0
1147	25	1	2	0.000000	7.640000	7.640000	0.000000	0.000000	0	12	0
1148	34	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
1149	27	1	1	0.000000	10.148148	5.444444	0.000000	0.000000	0	7	0
1150	10	1	1	0.000000	3.200000	3.200000	0.000000	0.000000	0	4	0
1151	28	1	1	0.000000	4.071429	4.071429	0.000000	0.000000	0	5	0
1152	1	2	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	4	0
